,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,tconst
1331,s1332,Movie,child's play,Tom Holland,"['catherine hicks', 'alex vincent', 'brad dourif']",['united states'],"December 31, 2019",1988,3,87 min,"Cult Movies, Horror Movies","When a rash of murders unfolds, 6-year-old Andy knows that his toy doll Chucky is the killer, but neither his mom nor the cops believe him.",12054
1344,s1345,Movie,chitty chitty bang bang,Ken Hughes,"['dick van dyke', 'sally ann howes', 'lionel jeffries']","['united kingdom', 'united states']","January 1, 2020",1968,2,146 min,"Children & Family Movies, Classic Movies, Comedies","Quirky inventor Caractacus Potts and his family travel in their magical flying car to Vulgaria, a kingdom strangely devoid of children.",12508
1400,s1401,Movie,city of god,"Fernando Meirelles, Katia Lund","['alexandre rodrigues', 'leandro firmino', 'phellipe haagensen']","['brazil', 'france', 'germany']","January 1, 2020",2002,3,130 min,"Dramas, Independent Movies, International Movies","Growing up in a Rio de Janeiro slum, Rocket is able to avoid being drawn into a life of drugs and crime by having a passion for photography.",6450
1402,s1403,Movie,city of joy,Madeleine Gavin,[],['other'],"September 7, 2018",2018,3,77 min,Documentaries,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.",14300
1408,s1409,Movie,clash of the titans,Louis Leterrier,"['sam worthington', 'liam neeson', 'ralph fiennes']","['united states', 'united kingdom', 'australia']","August 1, 2019",2010,3,106 min,"Action & Adventure, Sci-Fi & Fantasy","If he is to save the life of the beautiful Princess Andromeda, the valiant Perseus must battle a host of powerful, beastly enemies.",1709
1414,s1415,Movie,cleopatra jones,Jack Starrett,"['tamara dobson', 'bernie casey', 'brendasykes']",['united states'],"November 1, 2019",1973,3,89 min,"Action & Adventure, Classic Movies","A stylin' special agent chases down drug lords and does her part to stop trafficking. Soon, she finds herself seeking revenge on a dealer.",2773
1438,s1439,Movie,coach carter,Thomas Carter,"['samuel l. jackson', 'rob brown', ""robert ri'chard""]","['united states', 'germany']","January 1, 2020",2005,3,137 min,"Dramas, Sports Movies",Controversial basketball coach Ken Carter puts school before sports and benches his undefeated high school team for poor academic performance.,1073
1462,s1463,TV Show,collateral,,"['carey mulligan', 'john simm', 'nicola walker']","['united kingdom', 'united states']","March 9, 2018",2018,3,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","Investigating the murder of a pizza delivery man, a London detective uncovers a tangled conspiracy involving drug dealers, smugglers and spies.",6134
1477,s1478,Movie,company,Ram Gopal Varma,"['ajay devgn', 'vivek oberoi', 'mohanlal']",['india'],"March 1, 2018",2002,3,137 min,"Action & Adventure, Dramas, International Movies","Following a misunderstanding, a gangster and his boss part ways and become bitter enemies – with devastating consequences.",11308
1487,s1488,TV Show,conspiracy,,['mark bazeley'],['united kingdom'],"September 1, 2016",2015,3,1 Season,"British TV Shows, Docuseries","Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues.",11531
1497,s1498,Movie,cool hand luke,Stuart Rosenberg,"['paul newman', 'george kennedy', 'j.d. cannon']",['united states'],"January 1, 2021",1967,3,127 min,"Classic Movies, Dramas","Luke Jackson likes to do things his own way, which leads to a world of hurt when he ends up in a prison camp – and on the wrong side of its warden.",5561
1517,s1518,Movie,crash,Paul Haggis,"['sandra bullock', 'don cheadle', 'matt dillon']","['united states', 'germany']","October 1, 2019",2004,3,112 min,"Dramas, Independent Movies","In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.",6174
1524,s1525,Movie,crazy people,Moses Inwang,"['ramsey nouah', 'chigul', 'sola sobowale']",['nigeria'],"November 29, 2019",2018,3,107 min,"Comedies, International Movies, Thrillers",Nollywood star Ramsey Nouah learns that someone is impersonating him and breaks out of a mental institution to expose the imposter.,15298
1555,s1556,TV Show,cursed,,"['katherine langford', 'devon terrell', 'gustaf skarsgård']","['united kingdom', 'australia']","July 17, 2020",2020,3,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","Armed with mysterious powers and a legendary sword, young rebel Nimue joins forces with charming mercenary Arthur on a mission to save her people.",17398
1575,s1576,Movie,dad,Gary David Goldberg,"['jack lemmon', 'ted danson', 'olympia dukakis']",['united states'],"April 1, 2018",1989,3,117 min,Dramas,"Family bonds are revived after a father is diagnosed with cancer in this bittersweet drama. Dutiful son John cares for his aging father, Jake, but not without complaint.",12643
1578,s1579,Movie,daddy day care,Steve Carr,"['eddie murphy', 'jeff garlin', 'steve zahn']",['united states'],"January 1, 2019",2003,3,93 min,"Children & Family Movies, Comedies","When a conscientious father loses his lucrative dot-com job and faces economic ruin, he joins two friends in opening a business called Daddy Day Care.",9645
1604,s1605,Movie,dante's peak,Roger Donaldson,"['pierce brosnan', 'linda hamilton', 'elizabeth hoffman']",['united states'],"September 1, 2019",1997,3,108 min,Action & Adventure,"When a volcanologist comes to investigate the recent rumblings of a dormant volcano, a massive eruption has everyone in town fighting for their lives.",3113
1620,s1621,Movie,dark waters,Youssef Chahine,"['faten hamama', 'omar sharif', 'ahmed ramzy']",['egypt'],"June 18, 2020",1956,3,104 min,"Classic Movies, Dramas, International Movies","A fisherman returns home after a three-year absence only to find the woman he loves drifting away, the sailors feuding and his community unraveling.",16079
1621,s1622,Movie,darna mana hai,Prawal Raman,"['aftab shivdasani', 'antara mali', 'boman irani']",['india'],"August 1, 2019",2003,3,116 min,"Horror Movies, International Movies, Thrillers","Stranded in a jungle when their car breaks down, six friends pass their time exchanging horror stories, unaware that they may be part of one themselves.",4169
1643,s1644,TV Show,daybreak,,"['colin ford', 'alyvia alyn lind', 'sophie simnett']",['united states'],"October 24, 2019",2019,3,1 Season,"TV Action & Adventure, TV Comedies, TV Horror","Living his best life in post-apocalyptic LA, a slacker strives to find the girl of his dreams while outwitting mindless ghouls and cliquish gangs.",9963
1681,s1682,TV Show,deep water,,"['noah taylor', 'yael stone', 'jeremy lindsay taylor']",['australia'],"July 1, 2017",2016,3,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Back in Bondi Beach, where she grew up, DC Tori Lustigman investigates a gay man's murder and finds a link to her brother's death decades earlier.",5259
1719,s1720,Movie,destiny,Youssef Chahine,"['nour el-sherif', 'laila elwi', 'mahmoud hemeida']","['france', 'egypt']","June 19, 2020",1997,3,136 min,"Dramas, International Movies","In 12th-century Spain, a philosopher and his profound teachings jeopardize the caliph he serves when political rivals threaten a government upheaval.",9253
1720,s1721,TV Show,detention,"Su I-Hsuan, Chuang Shiang-an, Liu Yi","['li lingwei', 'han ning', 'huang guanzhi']",['taiwan'],"December 5, 2020",2020,3,1 Season,"International TV Shows, TV Dramas, TV Horror",A tormented student uncovers unsettling secrets at her remote high school as betrayal and a paranormal encounter upend her life.,5039
1722,s1723,Movie,detour,Christopher Smith,"['tye sheridan', 'bel powley', 'emory cohen']","['united kingdom', 'south africa']","May 25, 2017",2016,3,97 min,Thrillers,"Convinced his stepfather caused the crash that left his mother in a coma, a law student drunkenly agrees to his murder, then can't rescind the deal.",8119
1749,s1750,Movie,diary of a chambermaid,Benoît Jacquot,"['léa seydoux', 'vincent lindon', 'clotilde mollet']","['france', 'belgium']","December 3, 2016",2015,2,96 min,"Dramas, International Movies","An attractive young woman goes to work as a chambermaid for a troublesome couple. The wife is unreasonable, and the husband won't stop hitting on her.",1967
1751,s1752,Movie,die another day,Lee Tamahori,"['pierce brosnan', 'halle berry', 'toby stephens']","['united kingdom', 'united states']","December 31, 2019",2002,3,133 min,Action & Adventure,Pierce Brosnan's final outing as 007 finds James Bond facing off against a North Korean terrorist who's in league with a British diamond merchant.,7509
1756,s1757,Movie,dil,Indra Kumar,"['aamir khan', 'madhuri dixit', 'saeed jaffrey']",['india'],"October 12, 2020",1990,3,165 min,"Comedies, Dramas, International Movies",A miser’s scheme to set his son up with a millionaire’s daughter backfires when the two actually fall in love — just as his sly charade is revealed.,10888
1757,s1758,Movie,dil chahta hai,Farhan Akhtar,"['aamir khan', 'saif ali khan', 'akshaye khanna']",['india'],"December 15, 2019",2001,3,185 min,"Comedies, Dramas, International Movies","Inseparable childhood friends Akash, Sameer and Siddharth are just out of college. Nothing comes between them – until they each fall in love.",982
1759,s1760,Movie,dil hai tumhaara,Kundan Shah,"['rekha', 'preity zinta', 'mahima chaudhry']",['india'],"April 1, 2018",2002,3,176 min,"Dramas, International Movies, Music & Musicals","The sophisticated son of a powerful businessman falls for a simple, free-spirited girl whose older sister is in love with him.",16893
1760,s1761,Movie,dil se,Mani Ratnam,"['shah rukh khan', 'manisha koirala', 'preity zinta']",['india'],"March 1, 2018",1998,3,166 min,"Dramas, International Movies, Romantic Movies",A radio broadcaster's intense attraction to a mysterious woman opens the door to a tidal wave of powerful emotions and desires.,14753
1774,s1775,TV Show,disappearance,,"['nelly karim', 'mohamed mamdouh', 'hesham selim']",['egypt'],"March 8, 2019",2018,3,1 Season,"International TV Shows, TV Dramas, TV Mysteries","A university lecturer in Russia returns to Egypt after her husband's sudden disappearance, uncovering further mysteries the more she investigates.",16035
1776,s1777,Movie,disclosure,,[],['united states'],"June 19, 2020",2020,3,108 min,"Documentaries, LGBTQ Movies","In this documentary, leading trans creatives and thinkers share heartfelt perspectives and analysis about Hollywood's impact on the trans community.",1035
1788,s1789,Movie,dna,Maïwenn,"['maïwenn', 'fanny ardant', 'louis garrel']","['france', 'other']","December 26, 2020",2020,3,91 min,"Dramas, International Movies","Grieving the death of her grandfather, Neige navigates family conflict and questions her world in this meditation about cultural identity and roots.",7103
1793,s1794,Movie,doctor zhivago,David Lean,"['omar sharif', 'julie christie', 'geraldine chaplin']","['united states', 'italy', 'united kingdom']","November 1, 2019",1965,3,200 min,"Classic Movies, Dramas, Romantic Movies",A young physician and his beautiful mistress get swept up in the danger and drama of the Bolshevik Revolution in this Oscar-winning epic.,3153
1807,s1808,Movie,don,Farhan Akhtar,"['shah rukh khan', 'priyanka chopra', 'arjun rampal']",['india'],"December 15, 2019",2006,3,169 min,"Action & Adventure, International Movies","A ruthless crime boss and drug lord is nabbed and held captive by the authorities, who send his naïve look-alike to infiltrate the man's gang.",10897
1823,s1824,Movie,donnie brasco,Mike Newell,"['al pacino', 'johnny depp', 'michael madsen']",['united states'],"January 1, 2020",1997,3,127 min,"Dramas, Thrillers","When FBI agent Joe Pistone goes undercover to infiltrate the mob, he starts to identify with the made men he's charged with taking down.",6221
1831,s1832,Movie,dostana,Tarun Mansukhani,"['abhishek bachchan', 'john abraham', 'priyanka chopra']","['india', 'united states']","April 1, 2020",2008,3,142 min,"Comedies, Dramas, International Movies","To win over a landlady who only accepts women as tenants, two men pose as a couple – but the jig may be up when they both fall for their flatmate.",1091
